x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.000003,      -2.807483,      -2.778088,      -2.762875,      -2.755801,      -2.752507,      -2.750952,      -2.750049,      -2.749548,      -2.749228,      -2.749096,
    0.500000,       0.000003,      -2.789262,      -2.776096,      -2.762225,      -2.755500,      -2.752339,      -2.750872,      -2.749984,      -2.749504,      -2.749193,      -2.749077,
    1.000000,       0.000003,      -2.752880,      -2.771060,      -2.760563,      -2.754692,      -2.751882,      -2.750587,      -2.749810,      -2.749401,      -2.749151,      -2.749033,
    1.500000,       0.000003,      -2.699203,      -2.763152,      -2.757900,      -2.753437,      -2.751168,      -2.750161,      -2.749541,      -2.749231,      -2.749059,      -2.748968,
    2.000000,       0.000003,      -2.628169,      -2.752715,      -2.754402,      -2.751729,      -2.750220,      -2.749583,      -2.749197,      -2.749014,      -2.748907,      -2.748866,
    2.500000,       0.000003,      -2.538481,      -2.740045,      -2.750164,      -2.749648,      -2.749043,      -2.748876,      -2.748747,      -2.748728,      -2.748749,      -2.748766,
    3.000000,       0.000003,      -2.427594,      -2.725382,      -2.745351,      -2.747280,      -2.747741,      -2.748040,      -2.748241,      -2.748422,      -2.748543,      -2.748645,
    3.500000,       0.000003,      -2.292469,      -2.708804,      -2.740119,      -2.744674,      -2.746260,      -2.747114,      -2.747674,      -2.748039,      -2.748324,      -2.748526,
    4.000000,       0.000003,      -2.130744,      -2.690268,      -2.734588,      -2.741911,      -2.744640,      -2.746111,      -2.747044,      -2.747645,      -2.748064,      -2.748416,
    4.500000,       0.000003,      -1.941970,      -2.669353,      -2.728901,      -2.739097,      -2.742985,      -2.745074,      -2.746411,      -2.747257,      -2.747819,      -2.748289,
    5.000000,       0.000003,      -1.729136,      -2.645449,      -2.723083,      -2.736272,      -2.741303,      -2.744042,      -2.745734,      -2.746842,      -2.747597,      -2.748181,
    5.500000,       0.000003,      -1.499379,      -2.617600,      -2.717306,      -2.733538,      -2.739638,      -2.742982,      -2.745068,      -2.746445,      -2.747377,      -2.748074,
    6.000000,       0.000003,      -1.263633,      -2.584418,      -2.711456,      -2.730882,      -2.738033,      -2.741991,      -2.744438,      -2.746058,      -2.747184,      -2.747966,
    6.500000,       0.000003,      -1.034625,      -2.544194,      -2.705533,      -2.728430,      -2.736561,      -2.741017,      -2.743865,      -2.745725,      -2.746964,      -2.747885,
    7.000000,       0.000003,      -0.824245,      -2.494809,      -2.699396,      -2.726179,      -2.735180,      -2.740185,      -2.743292,      -2.745391,      -2.746817,      -2.747849,
    7.500000,       0.000003,      -0.641066,      -2.433853,      -2.692846,      -2.724147,      -2.734029,      -2.739395,      -2.742861,      -2.745103,      -2.746693,      -2.747831,
    8.000000,       0.000003,      -0.488985,      -2.358708,      -2.685623,      -2.722375,      -2.733003,      -2.738719,      -2.742456,      -2.744902,      -2.746613,      -2.747844,
    8.500000,       0.000003,      -0.367659,      -2.266779,      -2.677337,      -2.720795,      -2.732192,      -2.738187,      -2.742136,      -2.744771,      -2.746566,      -2.747872,
    9.000000,       0.000003,      -0.273802,      -2.155870,      -2.667498,      -2.719365,      -2.731555,      -2.737786,      -2.741878,      -2.744649,      -2.746581,      -2.747952,
    9.500000,       0.000003,      -0.202772,      -2.024579,      -2.655473,      -2.718043,      -2.731106,      -2.737505,      -2.741745,      -2.744609,      -2.746643,      -2.748081,
   10.000000,       0.000003,      -0.149809,      -1.872945,      -2.640538,      -2.716789,      -2.730855,      -2.737385,      -2.741724,      -2.744627,      -2.746735,      -2.748225,
   10.500000,       0.000003,      -0.110673,      -1.702808,      -2.621733,      -2.715488,      -2.730796,      -2.737414,      -2.741795,      -2.744745,      -2.746909,      -2.748430,
   11.000000,       0.000003,      -0.081901,      -1.518190,      -2.597934,      -2.714046,      -2.730910,      -2.737592,      -2.741951,      -2.744938,      -2.747124,      -2.748686,
   11.500000,       0.000003,      -0.060822,      -1.325196,      -2.567847,      -2.712259,      -2.731126,      -2.737916,      -2.742219,      -2.745234,      -2.747420,      -2.749016,
   12.000000,       0.000003,      -0.045368,      -1.131428,      -2.529900,      -2.709975,      -2.731523,      -2.738394,      -2.742589,      -2.745600,      -2.747756,      -2.749377,
   12.500000,       0.000003,      -0.034032,      -0.944857,      -2.482360,      -2.707032,      -2.732002,      -2.738969,      -2.743069,      -2.746050,      -2.748160,      -2.749802,
   13.000000,       0.000003,      -0.025688,      -0.772659,      -2.423279,      -2.703095,      -2.732469,      -2.739659,      -2.743633,      -2.746542,      -2.748648,      -2.750266,
   13.500000,       0.000003,      -0.019502,      -0.620021,      -2.350652,      -2.697862,      -2.732970,      -2.740371,      -2.744348,      -2.747098,      -2.749217,      -2.750801,
   14.000000,       0.000003,      -0.014895,      -0.489650,      -2.262559,      -2.690979,      -2.733424,      -2.741226,      -2.745085,      -2.747768,      -2.749784,      -2.751350,
   14.500000,       0.000003,      -0.011415,      -0.381837,      -2.157376,      -2.681921,      -2.733732,      -2.742194,      -2.745898,      -2.748480,      -2.750478,      -2.751971,
   15.000000,       0.000003,      -0.008777,      -0.295014,      -2.034045,      -2.670153,      -2.733905,      -2.743093,      -2.746775,      -2.749298,      -2.751189,      -2.752611,
   15.500000,       0.000003,      -0.006749,      -0.226534,      -1.892644,      -2.655011,      -2.733812,      -2.744106,      -2.747741,      -2.750145,      -2.751913,      -2.753301,
   16.000000,       0.000003,      -0.005191,      -0.173344,      -1.734488,      -2.635575,      -2.733340,      -2.745148,      -2.748756,      -2.751035,      -2.752715,      -2.754009,
   16.500000,       0.000003,      -0.003989,      -0.132448,      -1.562640,      -2.610950,      -2.732412,      -2.746125,      -2.749731,      -2.751944,      -2.753522,      -2.754782,
   17.000000,       0.000003,      -0.003056,      -0.101221,      -1.381791,      -2.579936,      -2.730899,      -2.747069,      -2.750793,      -2.752880,      -2.754377,      -2.755595,
   17.500000,       0.000003,      -0.002341,      -0.077454,      -1.197979,      -2.541165,      -2.728641,      -2.747981,      -2.751847,      -2.753876,      -2.755295,      -2.756391,
   18.000000,       0.000003,      -0.001792,      -0.059394,      -1.017905,      -2.493141,      -2.725401,      -2.748779,      -2.752930,      -2.754893,      -2.756205,      -2.757230,
   18.500000,       0.000003,      -0.001374,      -0.045676,      -0.848082,      -2.434157,      -2.720989,      -2.749446,      -2.753954,      -2.755839,      -2.757116,      -2.758077,
   19.000000,       0.000003,      -0.001049,      -0.035239,      -0.693796,      -2.362440,      -2.715118,      -2.749992,      -2.755002,      -2.756848,      -2.758033,      -2.758923,
   19.500000,       0.000003,      -0.000806,      -0.027279,      -0.558442,      -2.276320,      -2.707382,      -2.750332,      -2.755982,      -2.757833,      -2.758963,      -2.759793,
   20.000000,       0.000003,      -0.000615,      -0.021187,      -0.443502,      -2.174304,      -2.697426,      -2.750446,      -2.756961,      -2.758799,      -2.759866,      -2.760602,
   20.500000,       0.000003,      -0.000468,      -0.016522,      -0.348517,      -2.055420,      -2.684692,      -2.750270,      -2.757900,      -2.759769,      -2.760779,      -2.761470,
   21.000000,       0.000003,      -0.000356,      -0.012927,      -0.271782,      -1.919524,      -2.668510,      -2.749721,      -2.758727,      -2.760730,      -2.761692,      -2.762343,
   21.500000,       0.000003,      -0.000264,      -0.010157,      -0.210882,      -1.767645,      -2.648207,      -2.748744,      -2.759523,      -2.761652,      -2.762600,      -2.763193,
   22.000000,       0.000003,      -0.000199,      -0.008007,      -0.163145,      -1.602216,      -2.622800,      -2.747207,      -2.760261,      -2.762542,      -2.763472,      -2.764020,
   22.500000,       0.000003,      -0.000145,      -0.006327,      -0.126077,      -1.427212,      -2.591225,      -2.745048,      -2.760886,      -2.763417,      -2.764319,      -2.764832,
   23.000000,       0.000003,      -0.000107,      -0.005030,      -0.097452,      -1.247885,      -2.552246,      -2.742096,      -2.761382,      -2.764254,      -2.765155,      -2.765646,
   23.500000,       0.000003,      -0.000076,      -0.004003,      -0.075424,      -1.070327,      -2.504404,      -2.738155,      -2.761768,      -2.765059,      -2.765984,      -2.766480,
   24.000000,       0.000003,      -0.000052,      -0.003201,      -0.058480,      -0.900730,      -2.446205,      -2.732985,      -2.761990,      -2.765808,      -2.766803,      -2.767268,
   24.500000,       0.000003,      -0.000034,      -0.002570,      -0.045450,      -0.744413,      -2.375902,      -2.726385,      -2.762025,      -2.766502,      -2.767602,      -2.768033,
   25.000000,       0.000003,      -0.000022,      -0.002067,      -0.035417,      -0.605236,      -2.291919,      -2.717989,      -2.761844,      -2.767131,      -2.768306,      -2.768786,
   25.500000,       0.000003,      -0.000014,      -0.001663,      -0.027685,      -0.485217,      -2.192821,      -2.707381,      -2.761431,      -2.767733,      -2.769002,      -2.769497,
   26.000000,       0.000003,      -0.000006,      -0.001346,      -0.021708,      -0.384634,      -2.077567,      -2.694095,      -2.760725,      -2.768263,      -2.769661,      -2.770189,
   26.500000,       0.000003,      -0.000002,      -0.001087,      -0.017072,      -0.302282,      -1.945871,      -2.677510,      -2.759678,      -2.768702,      -2.770312,      -2.770810,
   27.000000,       0.000003,       0.000001,      -0.000880,      -0.013464,      -0.236152,      -1.798460,      -2.656885,      -2.758161,      -2.769030,      -2.770910,      -2.771467,
   27.500000,       0.000003,       0.000004,      -0.000715,      -0.010657,      -0.183797,      -1.637383,      -2.631403,      -2.756134,      -2.769332,      -2.771431,      -2.772069,
   28.000000,       0.000003,       0.000005,      -0.000579,      -0.008459,      -0.142781,      -1.466106,      -2.599995,      -2.753458,      -2.769530,      -2.771917,      -2.772605,
   28.500000,       0.000003,       0.000007,      -0.000470,      -0.006736,      -0.110861,      -1.289410,      -2.561508,      -2.750032,      -2.769624,      -2.772384,      -2.773121,
   29.000000,       0.000003,       0.000008,      -0.000392,      -0.005381,      -0.086137,      -1.112995,      -2.514545,      -2.745625,      -2.769595,      -2.772816,      -2.773606,
   29.500000,       0.000003,       0.000009,      -0.000318,      -0.004312,      -0.067023,      -0.942877,      -2.457594,      -2.740089,      -2.769426,      -2.773213,      -2.774097,
   30.000000,       0.000003,       0.000009,      -0.000258,      -0.003463,      -0.052256,      -0.784464,      -2.389115,      -2.733113,      -2.769110,      -2.773560,      -2.774518,
   30.500000,       0.000003,       0.000009,      -0.000209,      -0.002790,      -0.040830,      -0.641904,      -2.307473,      -2.724433,      -2.768569,      -2.773871,      -2.774955,
   31.000000,       0.000003,       0.000009,      -0.000172,      -0.002252,      -0.031990,      -0.517722,      -2.211236,      -2.713640,      -2.767795,      -2.774111,      -2.775338,
   31.500000,       0.000003,       0.000010,      -0.000143,      -0.001825,      -0.025134,      -0.412596,      -2.099323,      -2.700242,      -2.766745,      -2.774333,      -2.775689,
   32.000000,       0.000003,       0.000010,      -0.000115,      -0.001474,      -0.019810,      -0.325781,      -1.971250,      -2.683695,      -2.765327,      -2.774500,      -2.776035,
   32.500000,       0.000003,       0.000010,      -0.000094,      -0.001199,      -0.015653,      -0.255513,      -1.827554,      -2.663265,      -2.763502,      -2.774558,      -2.776333,
   33.000000,       0.000003,       0.000010,      -0.000073,      -0.000972,      -0.012406,      -0.199528,      -1.669952,      -2.638133,      -2.761226,      -2.774586,      -2.776654,
   33.500000,       0.000003,       0.000010,      -0.000057,      -0.000795,      -0.009858,      -0.155423,      -1.501480,      -2.607338,      -2.758284,      -2.774497,      -2.776900,
   34.000000,       0.000003,       0.000010,      -0.000046,      -0.000648,      -0.007860,      -0.120959,      -1.326627,      -2.569721,      -2.754627,      -2.774305,      -2.777137,
   34.500000,       0.000003,       0.000010,      -0.000036,      -0.000528,      -0.006284,      -0.094163,      -1.150813,      -2.523964,      -2.750052,      -2.774031,      -2.777335,
   35.000000,       0.000003,       0.000010,      -0.000027,      -0.000435,      -0.005032,      -0.073379,      -0.979920,      -2.468616,      -2.744383,      -2.773628,      -2.777493,
   35.500000,       0.000003,       0.000010,      -0.000022,      -0.000356,      -0.004045,      -0.057281,      -0.819404,      -2.402066,      -2.737350,      -2.773068,      -2.777619,
   36.000000,       0.000003,       0.000010,      -0.000015,      -0.000293,      -0.003261,      -0.044810,      -0.673751,      -2.322848,      -2.728672,      -2.772320,      -2.777701,
   36.500000,       0.000003,       0.000010,      -0.000009,      -0.000240,      -0.002635,      -0.035140,      -0.545799,      -2.229402,      -2.717923,      -2.771364,      -2.777727,
   37.000000,       0.000003,       0.000010,      -0.000005,      -0.000196,      -0.002131,      -0.027629,      -0.436641,      -2.120612,      -2.704692,      -2.770112,      -2.777735,
   37.500000,       0.000003,       0.000010,      -0.000003,      -0.000161,      -0.001722,      -0.021784,      -0.345894,      -1.995892,      -2.688427,      -2.768543,      -2.777691,
   38.000000,       0.000003,       0.000010,       0.000000,      -0.000129,      -0.001399,      -0.017219,      -0.272007,      -1.855520,      -2.668441,      -2.766612,      -2.777596,
   38.500000,       0.000003,       0.000010,       0.000001,      -0.000108,      -0.001134,      -0.013653,      -0.212849,      -1.700940,      -2.643904,      -2.764153,      -2.777436,
