alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.025
Free stream: density =  1.000  velocity = -2.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.999999,       2.594654,       2.621661,       2.628144,       2.632798,       2.636352,       2.639093,       2.641314,       2.643244,       2.644794,       2.646300,
    0.500000,       0.999999,       2.589766,       2.621348,       2.628137,       2.632834,       2.636414,       2.639137,       2.641356,       2.643284,       2.644829,       2.646324,
    1.000000,       0.999999,       2.577266,       2.620513,       2.628128,       2.632954,       2.636553,       2.639267,       2.641489,       2.643395,       2.644935,       2.646414,
    1.500000,       0.999999,       2.557372,       2.619204,       2.628134,       2.633152,       2.636786,       2.639478,       2.641704,       2.643570,       2.645118,       2.646572,
    2.000000,       0.999999,       2.530047,       2.617469,       2.628170,       2.633456,       2.637118,       2.639793,       2.641984,       2.643818,       2.645336,       2.646783,
    2.500000,       0.999999,       2.494774,       2.615357,       2.628243,       2.633855,       2.637540,       2.640182,       2.642359,       2.644133,       2.645645,       2.647062,
    3.000000,       0.999999,       2.450416,       2.612916,       2.628371,       2.634333,       2.638042,       2.640673,       2.642806,       2.644522,       2.645989,       2.647402,
    3.500000,       0.999999,       2.395215,       2.610153,       2.628578,       2.634927,       2.638638,       2.641246,       2.643322,       2.644998,       2.646426,       2.647788,
    4.000000,       0.999999,       2.326933,       2.607027,       2.628882,       2.635601,       2.639330,       2.641923,       2.643941,       2.645502,       2.646925,       2.648216,
    4.500000,       0.999999,       2.243299,       2.603446,       2.629294,       2.636372,       2.640106,       2.642658,       2.644600,       2.646120,       2.647454,       2.648699,
    5.000000,       0.999999,       2.142766,       2.599221,       2.629848,       2.637249,       2.640987,       2.643473,       2.645290,       2.646780,       2.648069,       2.649223,
    5.500000,       0.999999,       2.025342,       2.594049,       2.630508,       2.638247,       2.641980,       2.644372,       2.646089,       2.647508,       2.648717,       2.649803,
    6.000000,       0.999999,       1.893622,       2.587486,       2.631305,       2.639363,       2.643039,       2.645310,       2.646947,       2.648285,       2.649428,       2.650438,
    6.500000,       0.999999,       1.753317,       2.578945,       2.632192,       2.640572,       2.644191,       2.646304,       2.647870,       2.649122,       2.650152,       2.651128,
    7.000000,       0.999999,       1.612714,       2.567633,       2.633087,       2.641894,       2.645374,       2.647395,       2.648856,       2.650004,       2.650951,       2.651847,
    7.500000,       0.999999,       1.481043,       2.552459,       2.634028,       2.643269,       2.646661,       2.648547,       2.649891,       2.650911,       2.651782,       2.652608,
    8.000000,       0.999999,       1.366023,       2.532136,       2.634893,       2.644744,       2.648003,       2.649757,       2.650976,       2.651874,       2.652660,       2.653407,
    8.500000,       0.999999,       1.271990,       2.505033,       2.635627,       2.646316,       2.649421,       2.651003,       2.652087,       2.652881,       2.653590,       2.654255,
