alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.025
Free stream: density =  1.000  velocity = -2.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       1.000000,       7.135505,       7.323957,       7.360079,       7.372650,       7.376861,       7.378092,       7.377876,       7.377181,       7.376230,       7.375148,
    0.500000,       1.000000,       7.126612,       7.323599,       7.360023,       7.372617,       7.376858,       7.378086,       7.377879,       7.377180,       7.376224,       7.375144,
    1.000000,       1.000000,       7.102164,       7.322645,       7.359953,       7.372603,       7.376846,       7.378049,       7.377868,       7.377203,       7.376234,       7.375153,
    1.500000,       1.000000,       7.059670,       7.320983,       7.359809,       7.372574,       7.376808,       7.378056,       7.377874,       7.377183,       7.376252,       7.375171,
    2.000000,       1.000000,       6.994940,       7.318460,       7.359603,       7.372489,       7.376785,       7.378030,       7.377861,       7.377155,       7.376260,       7.375158,
    2.500000,       1.000000,       6.901975,       7.314885,       7.359294,       7.372398,       7.376721,       7.378022,       7.377850,       7.377179,       7.376186,       7.375142,
    3.000000,       1.000000,       6.773193,       7.309930,       7.358905,       7.372278,       7.376696,       7.378008,       7.377860,       7.377125,       7.376182,       7.375189,
    3.500000,       1.000000,       6.599570,       7.303221,       7.358366,       7.372170,       7.376670,       7.377964,       7.377812,       7.377118,       7.376160,       7.375195,
    4.000000,       1.000000,       6.371215,       7.294205,       7.357718,       7.372006,       7.376606,       7.377881,       7.377796,       7.377052,       7.376157,       7.375237,
    4.500000,       1.000000,       6.079009,       7.282212,       7.356862,       7.371832,       7.376544,       7.377864,       7.377807,       7.377098,       7.376107,       7.375258,
    5.000000,       1.000000,       5.716869,       7.266212,       7.355875,       7.371607,       7.376494,       7.377810,       7.377750,       7.377121,       7.376059,       7.375268,
    5.500000,       1.000000,       5.284734,       7.245103,       7.354570,       7.371337,       7.376405,       7.377750,       7.377705,       7.377082,       7.376060,       7.375312,
