alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.025
Free stream: density =  1.000  velocity = -2.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.000016,      -0.003353,      -0.000788,       0.000109,       0.000145,       0.000334,       0.000283,       0.000223,       0.000213,       0.000232,       0.000149,
    0.500000,       0.000016,      -0.022834,      -0.007598,       0.001427,       0.003719,       0.003920,       0.003638,       0.003452,       0.002942,       0.002680,       0.002513,
    1.000000,       0.000016,      -0.016788,      -0.012881,       0.003247,       0.007350,       0.007573,       0.007173,       0.006665,       0.005730,       0.005136,       0.004827,
    1.500000,       0.000016,       0.031871,      -0.015248,       0.005459,       0.011013,       0.011401,       0.010409,       0.009681,       0.008517,       0.007754,       0.006991,
    2.000000,       0.000016,       0.135361,      -0.013756,       0.008390,       0.014821,       0.015085,       0.013833,       0.012700,       0.011144,       0.010307,       0.009241,
    2.500000,       0.000016,       0.302402,      -0.007259,       0.011990,       0.018847,       0.018789,       0.017369,       0.015853,       0.013764,       0.012793,       0.011349,
    3.000000,       0.000016,       0.538619,       0.004824,       0.016543,       0.022886,       0.022262,       0.020802,       0.018733,       0.016485,       0.015279,       0.013398,
    3.500000,       0.000016,       0.846294,       0.022960,       0.021878,       0.026954,       0.025897,       0.024187,       0.021561,       0.019103,       0.017632,       0.015499,
    4.000000,       0.000016,       1.224784,       0.047395,       0.028194,       0.031288,       0.029762,       0.027442,       0.024271,       0.021596,       0.019773,       0.017419,
    4.500000,       0.000016,       1.666241,       0.078360,       0.035351,       0.035503,       0.033247,       0.030361,       0.026877,       0.024265,       0.021983,       0.019305,
    5.000000,       0.000016,       2.152694,       0.116281,       0.043447,       0.040061,       0.036897,       0.033222,       0.029380,       0.026678,       0.024067,       0.021124,
    5.500000,       0.000016,       2.648869,       0.161968,       0.052093,       0.044767,       0.040342,       0.035956,       0.032000,       0.028839,       0.025769,       0.023046,
    6.000000,       0.000016,       3.100876,       0.216790,       0.061221,       0.049167,       0.043586,       0.038538,       0.034508,       0.030892,       0.027540,       0.024867,
    6.500000,       0.000016,       3.440043,       0.282480,       0.070592,       0.053705,       0.046531,       0.041224,       0.036581,       0.032750,       0.029189,       0.026563,
    7.000000,       0.000016,       3.600610,       0.361645,       0.080454,       0.057669,       0.049485,       0.043605,       0.038605,       0.034388,       0.030857,       0.028086,
    7.500000,       0.000016,       3.546159,       0.458358,       0.090708,       0.061664,       0.052215,       0.045809,       0.040497,       0.036084,       0.032490,       0.029321,
