x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.000003,     -11.627815,     -11.894703,     -11.987106,     -12.039431,     -12.071751,     -12.093597,     -12.109509,     -12.122629,     -12.132538,     -12.142152,
    0.500000,       0.000003,     -11.592575,     -11.892405,     -11.987015,     -12.039726,     -12.072268,     -12.093853,     -12.109828,     -12.122946,     -12.132752,     -12.142263,
    1.000000,       0.000003,     -11.502158,     -11.886204,     -11.986874,     -12.040559,     -12.073210,     -12.094796,     -12.110810,     -12.123722,     -12.133514,     -12.142998,
    1.500000,       0.000003,     -11.356557,     -11.876486,     -11.986815,     -12.041924,     -12.074924,     -12.096296,     -12.112373,     -12.124986,     -12.134801,     -12.144125,
    2.000000,       0.000003,     -11.153652,     -11.863495,     -11.986918,     -12.044076,     -12.077301,     -12.098619,     -12.114399,     -12.126795,     -12.136381,     -12.145721,
    2.500000,       0.000003,     -10.887239,     -11.847428,     -11.987293,     -12.046978,     -12.080399,     -12.101442,     -12.117189,     -12.129097,     -12.138739,     -12.147784,
    3.000000,       0.000003,     -10.546162,     -11.828584,     -11.987964,     -12.050287,     -12.084042,     -12.105047,     -12.120479,     -12.131968,     -12.141205,     -12.150244,
    3.500000,       0.000003,     -10.114985,     -11.806805,     -11.989161,     -12.054592,     -12.088325,     -12.109217,     -12.124234,     -12.135449,     -12.144457,     -12.153116,
    4.000000,       0.000003,      -9.575310,     -11.781540,     -11.990967,     -12.059330,     -12.093344,     -12.114189,     -12.128798,     -12.139256,     -12.148152,     -12.156332,
    4.500000,       0.000003,      -8.910355,     -11.751911,     -11.993461,     -12.064754,     -12.098931,     -12.119552,     -12.133619,     -12.143734,     -12.152025,     -12.159884,
    5.000000,       0.000003,      -8.111663,     -11.716119,     -11.996777,     -12.070942,     -12.105350,     -12.125502,     -12.138622,     -12.148516,     -12.156582,     -12.163715,
    5.500000,       0.000003,      -7.186345,     -11.671617,     -12.000750,     -12.077994,     -12.112489,     -12.132057,     -12.144548,     -12.153934,     -12.161319,     -12.168034,
    6.000000,       0.000003,      -6.164100,     -11.614393,     -12.005637,     -12.085873,     -12.120171,     -12.138826,     -12.150898,     -12.159662,     -12.166616,     -12.172657,
    6.500000,       0.000003,      -5.098679,     -11.539464,     -12.010880,     -12.094390,     -12.128501,     -12.146111,     -12.157677,     -12.165785,     -12.171915,     -12.177774,
    7.000000,       0.000003,      -4.059969,     -11.440056,     -12.015989,     -12.103680,     -12.137023,     -12.154028,     -12.164858,     -12.172274,     -12.177843,     -12.183105,
    7.500000,       0.000003,      -3.117844,     -11.306704,     -12.021090,     -12.113296,     -12.146371,     -12.162487,     -12.172459,     -12.179005,     -12.183920,     -12.188688,
