alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.025
Free stream: density =  1.000  velocity = -2.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,      -2.000007,      -0.000356,      -0.000034,      -0.000013,      -0.000007,      -0.000004,      -0.000004,      -0.000003,      -0.000003,      -0.000003,      -0.000002,
    0.500000,      -2.000007,      -0.004581,      -0.000430,      -0.000217,      -0.000149,      -0.000111,      -0.000087,      -0.000075,      -0.000063,      -0.000062,      -0.000061,
    1.000000,      -2.000007,      -0.009986,      -0.000880,      -0.000430,      -0.000295,      -0.000218,      -0.000173,      -0.000148,      -0.000120,      -0.000121,      -0.000118,
    1.500000,      -2.000007,      -0.017568,      -0.001433,      -0.000653,      -0.000442,      -0.000327,      -0.000254,      -0.000220,      -0.000179,      -0.000178,      -0.000173,
    2.000000,      -2.000007,      -0.028389,      -0.002132,      -0.000894,      -0.000591,      -0.000435,      -0.000340,      -0.000288,      -0.000237,      -0.000235,      -0.000231,
    2.500000,      -2.000007,      -0.043679,      -0.003025,      -0.001157,      -0.000747,      -0.000543,      -0.000426,      -0.000358,      -0.000294,      -0.000290,      -0.000286,
    3.000000,      -2.000007,      -0.064954,      -0.004164,      -0.001445,      -0.000904,      -0.000649,      -0.000509,      -0.000425,      -0.000355,      -0.000345,      -0.000341,
    3.500000,      -2.000007,      -0.094153,      -0.005601,      -0.001760,      -0.001066,      -0.000758,      -0.000591,      -0.000489,      -0.000414,      -0.000399,      -0.000394,
    4.000000,      -2.000007,      -0.133750,      -0.007406,      -0.002108,      -0.001230,      -0.000867,      -0.000670,      -0.000552,      -0.000473,      -0.000451,      -0.000443,
    4.500000,      -2.000007,      -0.186818,      -0.009666,      -0.002488,      -0.001398,      -0.000972,      -0.000749,      -0.000611,      -0.000532,      -0.000502,      -0.000489,
    5.000000,      -2.000007,      -0.256951,      -0.012491,      -0.002904,      -0.001573,      -0.001076,      -0.000822,      -0.000668,      -0.000586,      -0.000554,      -0.000534,
    5.500000,      -2.000007,      -0.347928,      -0.016045,      -0.003357,      -0.001752,      -0.001179,      -0.000893,      -0.000728,      -0.000635,      -0.000602,      -0.000579,
    6.000000,      -2.000007,      -0.462987,      -0.020546,      -0.003849,      -0.001929,      -0.001275,      -0.000961,      -0.000786,      -0.000686,      -0.000646,      -0.000621,
    6.500000,      -2.000007,      -0.603486,      -0.026292,      -0.004389,      -0.002109,      -0.001369,      -0.001032,      -0.000837,      -0.000731,      -0.000689,      -0.000659,
    7.000000,      -2.000007,      -0.767189,      -0.033689,      -0.004991,      -0.002284,      -0.001464,      -0.001097,      -0.000889,      -0.000776,      -0.000730,      -0.000693,
    7.500000,      -2.000007,      -0.946824,      -0.043295,      -0.005667,      -0.002463,      -0.001553,      -0.001161,      -0.000937,      -0.000816,      -0.000768,      -0.000726,
    8.000000,      -2.000007,      -1.130356,      -0.055854,      -0.006440,      -0.002644,      -0.001644,      -0.001217,      -0.000980,      -0.000854,      -0.000799,      -0.000757,
    8.500000,      -2.000007,      -1.303808,      -0.072363,      -0.007340,      -0.002824,      -0.001727,      -0.001269,      -0.001021,      -0.000888,      -0.000829,      -0.000783,
    9.000000,      -2.000007,      -1.455780,      -0.094147,      -0.008410,      -0.003002,      -0.001805,      -0.001318,      -0.001054,      -0.000918,      -0.000852,      -0.000806,
    9.500000,      -2.000007,      -1.580618,      -0.122939,      -0.009708,      -0.003184,      -0.001877,      -0.001361,      -0.001087,      -0.000940,      -0.000873,      -0.000826,
   10.000000,      -2.000007,      -1.678433,      -0.160953,      -0.011309,      -0.003368,      -0.001941,      -0.001397,      -0.001113,      -0.000960,      -0.000889,      -0.000844,
   10.500000,      -2.000007,      -1.752909,      -0.210942,      -0.013317,      -0.003560,      -0.001999,      -0.001427,      -0.001134,      -0.000978,      -0.000903,      -0.000860,
   11.000000,      -2.000007,      -1.808886,      -0.276159,      -0.015874,      -0.003767,      -0.002052,      -0.001451,      -0.001149,      -0.000988,      -0.000917,      -0.000876,
   11.500000,      -2.000007,      -1.850891,      -0.360123,      -0.019160,      -0.003996,      -0.002103,      -0.001472,      -0.001162,      -0.001000,      -0.000926,      -0.000886,
   12.000000,      -2.000007,      -1.882576,      -0.466078,      -0.023419,      -0.004251,      -0.002147,      -0.001487,      -0.001170,      -0.001007,      -0.000933,      -0.000894,
   12.500000,      -2.000007,      -1.906714,      -0.595889,      -0.028980,      -0.004552,      -0.002188,      -0.001498,      -0.001172,      -0.001010,      -0.000934,      -0.000900,
   13.000000,      -2.000007,      -1.925259,      -0.748574,      -0.036275,      -0.004916,      -0.002222,      -0.001503,      -0.001174,      -0.001010,      -0.000933,      -0.000901,
   13.500000,      -2.000007,      -1.939715,      -0.918758,      -0.045883,      -0.005363,      -0.002259,      -0.001501,      -0.001165,      -0.001004,      -0.000926,      -0.000898,
   14.000000,      -2.000007,      -1.951079,      -1.096314,      -0.058579,      -0.005920,      -0.002295,      -0.001494,      -0.001156,      -0.000995,      -0.000919,      -0.000894,
   14.500000,      -2.000007,      -1.960130,      -1.268259,      -0.075383,      -0.006624,      -0.002339,      -0.001486,      -0.001144,      -0.000983,      -0.000908,      -0.000888,
