alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.999999,       1.928131,       1.909438,       1.900769,       1.896536,       1.894206,       1.892788,       1.891839,       1.891193,       1.890748,       1.890442,
    0.500000,       0.999999,       1.923090,       1.908872,       1.900560,       1.896429,       1.894138,       1.892750,       1.891809,       1.891173,       1.890733,       1.890428,
    1.000000,       0.999999,       1.912994,       1.907405,       1.899996,       1.896137,       1.893966,       1.892641,       1.891735,       1.891122,       1.890696,       1.890398,
    1.500000,       0.999999,       1.898120,       1.905129,       1.899117,       1.895670,       1.893685,       1.892460,       1.891611,       1.891036,       1.890638,       1.890352,
    2.000000,       0.999999,       1.878275,       1.902162,       1.897946,       1.895052,       1.893304,       1.892212,       1.891447,       1.890921,       1.890557,       1.890302,
    2.500000,       0.999999,       1.852597,       1.898649,       1.896526,       1.894288,       1.892839,       1.891907,       1.891248,       1.890780,       1.890456,       1.890224,
    3.000000,       0.999999,       1.819457,       1.894699,       1.894924,       1.893414,       1.892301,       1.891551,       1.891008,       1.890619,       1.890332,       1.890141,
    3.500000,       0.999999,       1.776648,       1.890416,       1.893189,       1.892443,       1.891710,       1.891146,       1.890738,       1.890430,       1.890199,       1.890043,
    4.000000,       0.999999,       1.721898,       1.885836,       1.891388,       1.891416,       1.891064,       1.890717,       1.890451,       1.890219,       1.890055,       1.889935,
    4.500000,       0.999999,       1.653836,       1.880943,       1.889555,       1.890352,       1.890381,       1.890259,       1.890129,       1.889995,       1.889894,       1.889820,
    5.000000,       0.999999,       1.573228,       1.875621,       1.887753,       1.889295,       1.889685,       1.889789,       1.889798,       1.889766,       1.889724,       1.889700,
    5.500000,       0.999999,       1.483810,       1.869648,       1.886016,       1.888250,       1.888986,       1.889311,       1.889463,       1.889525,       1.889561,       1.889571,
    6.000000,       0.999999,       1.392034,       1.862666,       1.884357,       1.887239,       1.888306,       1.888832,       1.889121,       1.889291,       1.889388,       1.889446,
    6.500000,       0.999999,       1.305303,       1.854130,       1.882788,       1.886295,       1.887646,       1.888363,       1.888791,       1.889043,       1.889204,       1.889316,
    7.000000,       0.999999,       1.229639,       1.843315,       1.881315,       1.885436,       1.887029,       1.887916,       1.888462,       1.888799,       1.889020,       1.889179,
    7.500000,       0.999999,       1.168106,       1.829247,       1.879906,       1.884648,       1.886457,       1.887490,       1.888141,       1.888556,       1.888838,       1.889039,
    8.000000,       0.999999,       1.120788,       1.810676,       1.878524,       1.883957,       1.885930,       1.887091,       1.887837,       1.888332,       1.888661,       1.888903,
    8.500000,       0.999999,       1.085858,       1.786126,       1.877107,       1.883363,       1.885465,       1.886726,       1.887552,       1.888105,       1.888497,       1.888777,
    9.000000,       0.999999,       1.060736,       1.753968,       1.875566,       1.882868,       1.885073,       1.886396,       1.887292,       1.887902,       1.888341,       1.888659,
    9.500000,       0.999999,       1.042938,       1.712650,       1.873788,       1.882459,       1.884746,       1.886124,       1.887058,       1.887725,       1.888194,       1.888544,
   10.000000,       0.999999,       1.030415,       1.661094,       1.871611,       1.882144,       1.884487,       1.885896,       1.886859,       1.887560,       1.888067,       1.888447,
   10.500000,       0.999999,       1.021615,       1.599250,       1.868811,       1.881895,       1.884305,       1.885723,       1.886698,       1.887423,       1.887955,       1.888354,
   11.000000,       0.999999,       1.015424,       1.528619,       1.865112,       1.881698,       1.884189,       1.885592,       1.886575,       1.887310,       1.887867,       1.888277,
   11.500000,       0.999999,       1.011058,       1.452448,       1.860135,       1.881537,       1.884134,       1.885507,       1.886485,       1.887230,       1.887792,       1.888213,
   12.000000,       0.999999,       1.007969,       1.375343,       1.853395,       1.881384,       1.884138,       1.885470,       1.886436,       1.887181,       1.887743,       1.888169,
   12.500000,       0.999999,       1.005774,       1.302208,       1.844265,       1.881197,       1.884198,       1.885485,       1.886414,       1.887152,       1.887719,       1.888138,
   13.000000,       0.999999,       1.004204,       1.237016,       1.831930,       1.880943,       1.884299,       1.885541,       1.886429,       1.887152,       1.887710,       1.888130,
   13.500000,       0.999999,       1.003078,       1.182029,       1.815385,       1.880561,       1.884440,       1.885631,       1.886477,       1.887178,       1.887725,       1.888135,
   14.000000,       0.999999,       1.002257,       1.137710,       1.793443,       1.879986,       1.884612,       1.885757,       1.886551,       1.887230,       1.887758,       1.888161,
   14.500000,       0.999999,       1.001662,       1.103199,       1.764759,       1.879133,       1.884803,       1.885909,       1.886652,       1.887308,       1.887812,       1.888205,
   15.000000,       0.999999,       1.001224,       1.076977,       1.728003,       1.877900,       1.885004,       1.886093,       1.886786,       1.887403,       1.887882,       1.888265,
   15.500000,       0.999999,       1.000900,       1.057348,       1.682108,       1.876135,       1.885184,       1.886300,       1.886950,       1.887524,       1.887974,       1.888339,
   16.000000,       0.999999,       1.000662,       1.042787,       1.626685,       1.873652,       1.885363,       1.886521,       1.887137,       1.887661,       1.888075,       1.888437,
   16.500000,       0.999999,       1.000487,       1.032014,       1.562447,       1.870205,       1.885515,       1.886778,       1.887337,       1.887808,       1.888198,       1.888546,
   17.000000,       0.999999,       1.000354,       1.024050,       1.491579,       1.865484,       1.885620,       1.887034,       1.887550,       1.887970,       1.888339,       1.888664,
   17.500000,       0.999999,       1.000257,       1.018148,       1.417628,       1.859061,       1.885640,       1.887298,       1.887768,       1.888138,       1.888493,       1.888803,
   18.000000,       0.999999,       1.000186,       1.013759,       1.344885,       1.850387,       1.885576,       1.887545,       1.887989,       1.888333,       1.888661,       1.888945,
   18.500000,       0.999999,       1.000134,       1.010484,       1.277452,       1.838759,       1.885382,       1.887799,       1.888233,       1.888540,       1.888842,       1.889110,
   19.000000,       0.999999,       1.000093,       1.008026,       1.218298,       1.823305,       1.885003,       1.888049,       1.888479,       1.888756,       1.889031,       1.889264,
   19.500000,       0.999999,       1.000067,       1.006174,       1.168823,       1.802964,       1.884394,       1.888296,       1.888731,       1.888986,       1.889222,       1.889432,
   20.000000,       0.999999,       1.000046,       1.004769,       1.129010,       1.776526,       1.883479,       1.888519,       1.888982,       1.889205,       1.889415,       1.889609,
   20.500000,       0.999999,       1.000032,       1.003697,       1.097890,       1.742725,       1.882169,       1.888714,       1.889230,       1.889434,       1.889621,       1.889785,
   21.000000,       0.999999,       1.000021,       1.002878,       1.074030,       1.700439,       1.880344,       1.888868,       1.889471,       1.889654,       1.889818,       1.889953,
   21.500000,       0.999999,       1.000014,       1.002249,       1.055970,       1.649044,       1.877831,       1.888972,       1.889695,       1.889867,       1.890006,       1.890124,
   22.000000,       0.999999,       1.000009,       1.001764,       1.042396,       1.588785,       1.874416,       1.889031,       1.889908,       1.890074,       1.890186,       1.890288,
   22.500000,       0.999999,       1.000004,       1.001388,       1.032210,       1.521171,       1.869801,       1.889022,       1.890113,       1.890265,       1.890364,       1.890446,
