x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.000003,      -2.907660,      -2.848462,      -2.822468,      -2.810127,      -2.803485,      -2.799476,      -2.796771,      -2.794847,      -2.793495,      -2.792511,
    0.500000,       0.000003,      -2.892203,      -2.846740,      -2.821836,      -2.809798,      -2.803289,      -2.799367,      -2.796685,      -2.794790,      -2.793449,      -2.792466,
    1.000000,       0.000003,      -2.861032,      -2.842239,      -2.820115,      -2.808904,      -2.802765,      -2.799021,      -2.796452,      -2.794622,      -2.793335,      -2.792367,
    1.500000,       0.000003,      -2.814501,      -2.835251,      -2.817407,      -2.807463,      -2.801886,      -2.798469,      -2.796067,      -2.794355,      -2.793146,      -2.792219,
    2.000000,       0.000003,      -2.751221,      -2.826106,      -2.813812,      -2.805573,      -2.800705,      -2.797700,      -2.795561,      -2.794003,      -2.792900,      -2.792072,
    2.500000,       0.000003,      -2.667449,      -2.815231,      -2.809445,      -2.803219,      -2.799274,      -2.796738,      -2.794938,      -2.793568,      -2.792584,      -2.791833,
    3.000000,       0.000003,      -2.557010,      -2.802891,      -2.804538,      -2.800534,      -2.797601,      -2.795651,      -2.794201,      -2.793079,      -2.792208,      -2.791564,
    3.500000,       0.000003,      -2.412047,      -2.789386,      -2.799181,      -2.797525,      -2.795774,      -2.794390,      -2.793350,      -2.792487,      -2.791795,      -2.791265,
    4.000000,       0.000003,      -2.225402,      -2.774712,      -2.793623,      -2.794353,      -2.793788,      -2.793051,      -2.792450,      -2.791825,      -2.791360,      -2.790928,
    4.500000,       0.000003,      -1.994473,      -2.758785,      -2.787932,      -2.791070,      -2.791660,      -2.791638,      -2.791466,      -2.791162,      -2.790854,      -2.790570,
    5.000000,       0.000003,      -1.725355,      -2.741058,      -2.782332,      -2.787788,      -2.789495,      -2.790166,      -2.790425,      -2.790448,      -2.790322,      -2.790201,
    5.500000,       0.000003,      -1.434408,      -2.720640,      -2.776870,      -2.784578,      -2.787313,      -2.788689,      -2.789417,      -2.789675,      -2.789809,      -2.789793,
    6.000000,       0.000003,      -1.145200,      -2.696215,      -2.771635,      -2.781423,      -2.785233,      -2.787210,      -2.788327,      -2.788959,      -2.789283,      -2.789402,
    6.500000,       0.000003,      -0.881068,      -2.665653,      -2.766605,      -2.778484,      -2.783169,      -2.785735,      -2.787306,      -2.788198,      -2.788697,      -2.789004,
    7.000000,       0.000003,      -0.657923,      -2.626260,      -2.761816,      -2.775819,      -2.781257,      -2.784361,      -2.786275,      -2.787433,      -2.788130,      -2.788570,
    7.500000,       0.000003,      -0.481195,      -2.574383,      -2.757100,      -2.773343,      -2.779471,      -2.783029,      -2.785278,      -2.786678,      -2.787568,      -2.788133,
    8.000000,       0.000003,      -0.347773,      -2.505498,      -2.752374,      -2.771157,      -2.777821,      -2.781778,      -2.784331,      -2.785972,      -2.787018,      -2.787712,
    8.500000,       0.000003,      -0.250186,      -2.414452,      -2.747376,      -2.769273,      -2.776370,      -2.780636,      -2.783431,      -2.785269,      -2.786515,      -2.787325,
    9.000000,       0.000003,      -0.180052,      -2.295899,      -2.741752,      -2.767656,      -2.775123,      -2.779604,      -2.782622,      -2.784632,      -2.786022,      -2.786969,
    9.500000,       0.000003,      -0.130018,      -2.145547,      -2.735103,      -2.766316,      -2.774072,      -2.778729,      -2.781867,      -2.784084,      -2.785558,      -2.786594,
   10.000000,       0.000003,      -0.094353,      -1.961662,      -2.726755,      -2.765238,      -2.773256,      -2.778003,      -2.781233,      -2.783550,      -2.785161,      -2.786301,
   10.500000,       0.000003,      -0.068865,      -1.746984,      -2.715930,      -2.764333,      -2.772663,      -2.777450,      -2.780726,      -2.783112,      -2.784802,      -2.786020,
   11.000000,       0.000003,      -0.050573,      -1.509943,      -2.701499,      -2.763544,      -2.772282,      -2.777041,      -2.780318,      -2.782748,      -2.784528,      -2.785760,
   11.500000,       0.000003,      -0.037384,      -1.264073,      -2.682063,      -2.762832,      -2.772067,      -2.776743,      -2.780019,      -2.782501,      -2.784286,      -2.785552,
   12.000000,       0.000003,      -0.027832,      -1.025410,      -2.655743,      -2.762083,      -2.772035,      -2.776616,      -2.779852,      -2.782336,      -2.784121,      -2.785415,
   12.500000,       0.000003,      -0.020879,      -0.808406,      -2.620125,      -2.761183,      -2.772192,      -2.776650,      -2.779781,      -2.782234,      -2.784042,      -2.785320,
