alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       1.000001,       1.617296,       1.640208,       1.648514,       1.652699,       1.655121,       1.656615,       1.657620,       1.658246,       1.658648,       1.658897,
    0.500000,       1.000001,       1.620233,       1.640675,       1.648702,       1.652796,       1.655175,       1.656647,       1.657640,       1.658265,       1.658667,       1.658909,
    1.000000,       1.000001,       1.625759,       1.641901,       1.649206,       1.653056,       1.655333,       1.656744,       1.657710,       1.658314,       1.658699,       1.658938,
    1.500000,       1.000001,       1.632771,       1.643775,       1.649993,       1.653479,       1.655582,       1.656903,       1.657822,       1.658392,       1.658751,       1.658978,
    2.000000,       1.000001,       1.640037,       1.646182,       1.651035,       1.654033,       1.655924,       1.657126,       1.657966,       1.658490,       1.658823,       1.659022,
    2.500000,       1.000001,       1.646160,       1.648948,       1.652300,       1.654719,       1.656340,       1.657402,       1.658144,       1.658614,       1.658911,       1.659089,
    3.000000,       1.000001,       1.649522,       1.651940,       1.653715,       1.655500,       1.656817,       1.657718,       1.658353,       1.658758,       1.659018,       1.659163,
    3.500000,       1.000001,       1.648232,       1.654964,       1.655254,       1.656376,       1.657349,       1.658081,       1.658597,       1.658928,       1.659137,       1.659246,
    4.000000,       1.000001,       1.640013,       1.657890,       1.656828,       1.657299,       1.657925,       1.658466,       1.658858,       1.659117,       1.659265,       1.659345,
    4.500000,       1.000001,       1.622292,       1.660545,       1.658412,       1.658250,       1.658535,       1.658873,       1.659139,       1.659311,       1.659405,       1.659454,
    5.000000,       1.000001,       1.592589,       1.662826,       1.659944,       1.659202,       1.659168,       1.659293,       1.659429,       1.659514,       1.659565,       1.659557,
    5.500000,       1.000001,       1.549332,       1.664586,       1.661389,       1.660130,       1.659793,       1.659722,       1.659721,       1.659733,       1.659713,       1.659676,
    6.000000,       1.000001,       1.492913,       1.665689,       1.662704,       1.661037,       1.660393,       1.660144,       1.660029,       1.659946,       1.659868,       1.659788,
    6.500000,       1.000001,       1.426432,       1.665982,       1.663872,       1.661870,       1.660983,       1.660560,       1.660321,       1.660156,       1.660030,       1.659899,
    7.000000,       1.000001,       1.355412,       1.665232,       1.664858,       1.662617,       1.661526,       1.660954,       1.660609,       1.660375,       1.660193,       1.660023,
    7.500000,       1.000001,       1.286227,       1.663122,       1.665655,       1.663304,       1.662036,       1.661334,       1.660889,       1.660588,       1.660353,       1.660146,
    8.000000,       1.000001,       1.224094,       1.659214,       1.666253,       1.663887,       1.662503,       1.661685,       1.661158,       1.660791,       1.660509,       1.660267,
    8.500000,       1.000001,       1.171833,       1.652858,       1.666640,       1.664379,       1.662908,       1.662008,       1.661410,       1.660985,       1.660658,       1.660375,
    9.000000,       1.000001,       1.129966,       1.643186,       1.666812,       1.664761,       1.663258,       1.662300,       1.661637,       1.661165,       1.660793,       1.660485,
    9.500000,       1.000001,       1.097534,       1.629050,       1.666749,       1.665044,       1.663540,       1.662537,       1.661846,       1.661322,       1.660925,       1.660586,
   10.000000,       1.000001,       1.072930,       1.609091,       1.666439,       1.665218,       1.663751,       1.662735,       1.662014,       1.661469,       1.661039,       1.660673,
   10.500000,       1.000001,       1.054501,       1.581884,       1.665846,       1.665301,       1.663900,       1.662881,       1.662151,       1.661593,       1.661137,       1.660747,
   11.000000,       1.000001,       1.040787,       1.546266,       1.664913,       1.665295,       1.663980,       1.662984,       1.662255,       1.661691,       1.661216,       1.660816,
   11.500000,       1.000001,       1.030614,       1.501844,       1.663569,       1.665199,       1.664004,       1.663058,       1.662331,       1.661759,       1.661282,       1.660877,
   12.000000,       1.000001,       1.023062,       1.449466,       1.661677,       1.665017,       1.663979,       1.663077,       1.662364,       1.661800,       1.661325,       1.660910,
   12.500000,       1.000001,       1.017452,       1.391493,       1.659050,       1.664756,       1.663888,       1.663051,       1.662376,       1.661820,       1.661344,       1.660939,
   13.000000,       1.000001,       1.013268,       1.331507,       1.655431,       1.664425,       1.663759,       1.662987,       1.662354,       1.661816,       1.661349,       1.660951,
   13.500000,       1.000001,       1.010122,       1.273424,       1.650424,       1.664023,       1.663583,       1.662893,       1.662303,       1.661784,       1.661339,       1.660942,
   14.000000,       1.000001,       1.007755,       1.220512,       1.643504,       1.663549,       1.663368,       1.662762,       1.662225,       1.661729,       1.661305,       1.660921,
   14.500000,       1.000001,       1.005951,       1.174771,       1.633958,       1.662988,       1.663121,       1.662612,       1.662127,       1.661653,       1.661250,       1.660880,
   15.000000,       1.000001,       1.004572,       1.136808,       1.620839,       1.662315,       1.662844,       1.662431,       1.661999,       1.661565,       1.661180,       1.660822,
   15.500000,       1.000001,       1.003515,       1.106272,       1.603035,       1.661523,       1.662557,       1.662229,       1.661840,       1.661447,       1.661100,       1.660752,
   16.000000,       1.000001,       1.002692,       1.082208,       1.579320,       1.660553,       1.662243,       1.662013,       1.661666,       1.661321,       1.661005,       1.660665,
   16.500000,       1.000001,       1.002059,       1.063514,       1.548574,       1.659368,       1.661907,       1.661753,       1.661478,       1.661184,       1.660886,       1.660568,
   17.000000,       1.000001,       1.001573,       1.049105,       1.510082,       1.657857,       1.661549,       1.661497,       1.661281,       1.661031,       1.660760,       1.660458,
   17.500000,       1.000001,       1.001201,       1.038036,       1.464045,       1.655901,       1.661197,       1.661234,       1.661078,       1.660870,       1.660616,       1.660329,
   18.000000,       1.000001,       1.000914,       1.029548,       1.411851,       1.653330,       1.660815,       1.660983,       1.660870,       1.660687,       1.660467,       1.660202,
   18.500000,       1.000001,       1.000696,       1.023033,       1.356078,       1.649893,       1.660411,       1.660714,       1.660638,       1.660494,       1.660294,       1.660054,
   19.000000,       1.000001,       1.000533,       1.018018,       1.300047,       1.645253,       1.659976,       1.660441,       1.660411,       1.660293,       1.660115,       1.659914,
   19.500000,       1.000001,       1.000406,       1.014152,       1.247016,       1.638947,       1.659514,       1.660153,       1.660171,       1.660078,       1.659942,       1.659762,
   20.000000,       1.000001,       1.000308,       1.011163,       1.199449,       1.630338,       1.659014,       1.659871,       1.659927,       1.659873,       1.659766,       1.659602,
