alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,      -1.000002,      -0.000052,       0.000027,       0.000014,       0.000007,       0.000004,       0.000002,       0.000002,       0.000001,       0.000000,       0.000000,
    0.500000,      -1.000002,       0.000345,       0.000586,       0.000283,       0.000146,       0.000084,       0.000050,       0.000037,       0.000025,       0.000016,       0.000010,
    1.000000,      -1.000002,      -0.000497,       0.001081,       0.000538,       0.000280,       0.000161,       0.000098,       0.000070,       0.000047,       0.000031,       0.000020,
    1.500000,      -1.000002,      -0.003302,       0.001460,       0.000767,       0.000404,       0.000234,       0.000144,       0.000102,       0.000069,       0.000046,       0.000028,
    2.000000,      -1.000002,      -0.008981,       0.001677,       0.000961,       0.000513,       0.000299,       0.000185,       0.000131,       0.000089,       0.000059,       0.000035,
    2.500000,      -1.000002,      -0.018792,       0.001694,       0.001109,       0.000604,       0.000355,       0.000222,       0.000156,       0.000107,       0.000071,       0.000043,
    3.000000,      -1.000002,      -0.034494,       0.001474,       0.001206,       0.000675,       0.000399,       0.000253,       0.000177,       0.000121,       0.000082,       0.000049,
    3.500000,      -1.000002,      -0.058427,       0.000975,       0.001247,       0.000721,       0.000431,       0.000276,       0.000193,       0.000133,       0.000089,       0.000053,
    4.000000,      -1.000002,      -0.093432,       0.000147,       0.001230,       0.000744,       0.000452,       0.000290,       0.000204,       0.000142,       0.000094,       0.000056,
    4.500000,      -1.000002,      -0.142432,      -0.001086,       0.001154,       0.000742,       0.000458,       0.000297,       0.000211,       0.000146,       0.000097,       0.000058,
    5.000000,      -1.000002,      -0.207577,      -0.002836,       0.001017,       0.000717,       0.000453,       0.000296,       0.000213,       0.000148,       0.000097,       0.000060,
    5.500000,      -1.000002,      -0.289037,      -0.005266,       0.000824,       0.000669,       0.000434,       0.000288,       0.000208,       0.000146,       0.000096,       0.000059,
    6.000000,      -1.000002,      -0.383864,      -0.008622,       0.000571,       0.000600,       0.000403,       0.000272,       0.000198,       0.000141,       0.000094,       0.000057,
    6.500000,      -1.000002,      -0.485767,      -0.013254,       0.000254,       0.000512,       0.000360,       0.000249,       0.000184,       0.000134,       0.000090,       0.000054,
    7.000000,      -1.000002,      -0.586477,      -0.019663,      -0.000133,       0.000408,       0.000308,       0.000219,       0.000165,       0.000121,       0.000082,       0.000049,
    7.500000,      -1.000002,      -0.678267,      -0.028540,      -0.000603,       0.000290,       0.000245,       0.000182,       0.000140,       0.000106,       0.000072,       0.000042,
    8.000000,      -1.000002,      -0.756165,      -0.040811,      -0.001177,       0.000158,       0.000176,       0.000139,       0.000113,       0.000088,       0.000058,       0.000033,
    8.500000,      -1.000002,      -0.818595,      -0.057689,      -0.001888,       0.000016,       0.000101,       0.000091,       0.000080,       0.000067,       0.000042,       0.000022,
    9.000000,      -1.000002,      -0.866592,      -0.080672,      -0.002780,      -0.000136,       0.000022,       0.000040,       0.000045,       0.000042,       0.000025,       0.000010,
    9.500000,      -1.000002,      -0.902482,      -0.111498,      -0.003920,      -0.000299,      -0.000059,      -0.000015,       0.000006,       0.000016,       0.000005,      -0.000005,
   10.000000,      -1.000002,      -0.928873,      -0.151961,      -0.005400,      -0.000475,      -0.000143,      -0.000071,      -0.000034,      -0.000013,      -0.000017,      -0.000020,
   10.500000,      -1.000002,      -0.948100,      -0.203568,      -0.007349,      -0.000665,      -0.000228,      -0.000128,      -0.000075,      -0.000044,      -0.000040,      -0.000036,
   11.000000,      -1.000002,      -0.962054,      -0.266991,      -0.009944,      -0.000874,      -0.000312,      -0.000185,      -0.000117,      -0.000075,      -0.000064,      -0.000055,
   11.500000,      -1.000002,      -0.972161,      -0.341442,      -0.013427,      -0.001110,      -0.000396,      -0.000242,      -0.000160,      -0.000106,      -0.000087,      -0.000075,
