  0.0, 6.9466913666 0.2679068804
  1.0, 5.6463348803 2.0502144104
  2.0, 6.0201478236 -2.5848879495
  3.0, 7.1748914864 1.5286863455
  4.0, 5.1926006862 0.6348722365
  5.0, 6.3784105158 -2.1694185164
  6.0, 6.0581014393 2.1424495025
  7.0, 5.1593598476 -0.9570713240
  8.0, 6.8176663648 -1.3269369425
  9.0, 6.1701057380 2.5982382260
 10.0, 5.8264698179 -2.2196721872
 11.0, 7.1645009054 0.2704638557
 12.0, 5.5639693441 1.9401655025
 13.0, 6.0167809957 -2.6083434104
 14.0, 6.9152576277 1.2403552625
 15.0, 5.4696210067 0.9384263205
 16.0, 6.6869627377 -2.1309545988
 17.0, 6.0244977992 2.2132438134
 18.0, 5.7810402830 -0.9316499687
 19.0, 6.5436057035 -1.4016778101
 20.0, 6.2210363929 2.6217900457
 21.0, 5.4195863977 -2.1554002821
 22.0, 6.4838001405 0.0138992290
 23.0, 5.4203187623 2.1803826146
 24.0, 5.9545976009 -2.5531617504
 25.0, 6.3761470394 1.0994417180
 26.0, 5.3595413402 0.7575307809
 27.0, 6.3093465527 -2.2674652229
 28.0, 6.1325547871 2.3250844740
 29.0, 5.6665255358 -0.9106233716
 30.0, 6.6799202640 -1.2348275296
 31.0, 6.2533067015 2.5682440671
 32.0, 5.2891536015 -2.2336017291
 33.0, 6.3400141390 0.0038280500
 34.0, 5.6046684217 2.1548195972
 35.0, 6.2556473761 -2.4465393864
 36.0, 6.4631715780 1.1611043480
 37.0, 5.1143022222 0.9567591361
 38.0, 6.2778791786 -2.4962243023
 39.0, 6.3313940737 2.2130236628
 40.0, 5.6376634903 -0.8943686060
 41.0, 6.8938271842 -1.3446793852
 42.0, 5.7409713861 2.6727332439
 43.0, 5.3221665863 -2.0685110497
 44.0, 6.5431463166 -0.1089526225
 45.0, 5.7022034088 2.1692636496
 46.0, 6.3431589516 -2.6006195232
 47.0, 6.4255281427 1.2649029409
 48.0, 5.4460085724 0.8802234168
 49.0, 6.4463804504 -2.5812934974
 50.0, 6.4310768131 2.4079198424
 51.0, 5.8482698456 -0.7094112594
 52.0, 6.8008147598 -1.2607857232
 53.0, 6.3065631289 2.6447044075
 54.0, 6.1963882421 -2.0039303593
 55.0, 6.6880836039 -0.0427685877
 56.0, 5.5443760231 2.1439679971
 57.0, 6.1377922791 -2.7377456970
 58.0, 6.7900930895 1.0612683305
 59.0, 5.3286255920 0.8734917810
 60.0, 6.3803970579 -2.4579380309
 61.0, 6.5002380651 2.3316412623
 62.0, 5.0788645110 -0.8208784099
 63.0, 7.0765677184 -1.3539224602
 64.0, 5.9840787464 2.5619952358
 65.0, 5.4554262834 -2.1532170276
 66.0, 7.1924472759 -0.1017995795
 67.0, 5.7125358931 2.3278071043
 68.0, 5.7734211450 -2.5239689638
 69.0, 6.8657388885 1.3416761424
 70.0, 5.5344524688 1.1615444264
 71.0, 6.4312444094 -2.3273847579
 72.0, 6.6175113933 2.1142628247
 73.0, 5.2293670899 -0.5571678949
 74.0, 7.1843020080 -1.3510191160
 75.0, 5.7672809650 2.5863611153
 76.0, 5.6053458255 -2.1471830519
 77.0, 6.3049805247 -0.1976739506
 78.0, 5.8249473722 2.1391759700
 79.0, 5.6683656209 -2.6700782198
 80.0, 6.5574695850 1.1234392307
 81.0, 5.5150291182 1.1488846755
 82.0, 6.1936155613 -2.2681104121
 83.0, 6.8373112021 2.0973658689
 84.0, 5.2600781772 -0.6191378876
 85.0, 6.4036696281 -1.4731380819
 86.0, 5.5204551284 2.7037173315
 87.0, 5.7291382851 -1.9732955114
 88.0, 6.8098800392 -0.1749217744
 89.0, 5.6593313672 2.4173207013
 90.0, 5.9485527720 -2.6363412822
 91.0, 6.1882393789 1.0196442137
 92.0, 5.6082925033 1.1226515565
 93.0, 6.3402141844 -2.2840490441
 94.0, 6.5170547008 2.1241888997
 95.0, 5.6102533595 -0.6304920103
 96.0, 6.5064694237 -1.5049986362
 97.0, 6.1273099060 2.5965518612
 98.0, 5.7474880899 -1.7960985065
 99.0, 6.5478325447 -0.2125084877
100.0, 5.8281456997 2.0870419834
